,census_tract,cluster,code
0,36005000100,0,2000100
1,36005000200,3,2000200
2,36005000400,3,2000400
3,36005001600,3,2001600
4,36005001900,0,2001900
5,36005002000,1,2002000
6,36005002300,3,2002300
7,36005002400,0,2002400
8,36005002500,3,2002500
9,36005002701,0,2002701
10,36005002702,3,2002702
11,36005002800,3,2002800
12,36005003100,0,2003100
13,36005003300,0,2003300
14,36005003500,3,2003500
15,36005003700,0,2003700
16,36005003800,0,2003800
17,36005003900,3,2003900
18,36005004001,0,2004001
19,36005004100,3,2004100
20,36005004200,1,2004200
21,36005004300,3,2004300
22,36005004400,3,2004400
23,36005004600,0,2004600
24,36005004800,0,2004800
25,36005005001,3,2005001
26,36005005002,3,2005002
27,36005005100,3,2005100
28,36005005200,0,2005200
29,36005005300,0,2005300
30,36005005400,3,2005400
31,36005005600,0,2005600
32,36005005902,0,2005902
33,36005006000,0,2006000
34,36005006100,0,2006100
35,36005006200,3,2006200
36,36005006300,3,2006300
37,36005006400,3,2006400
38,36005006500,3,2006500
39,36005006700,3,2006700
40,36005006800,0,2006800
41,36005006900,1,2006900
42,36005007000,3,2007000
43,36005007100,0,2007100
44,36005007200,3,2007200
45,36005007300,0,2007300
46,36005007400,3,2007400
47,36005007500,3,2007500
48,36005007600,3,2007600
49,36005007700,0,2007700
50,36005007800,3,2007800
51,36005007900,3,2007900
52,36005008300,3,2008300
53,36005008400,0,2008400
54,36005008500,3,2008500
55,36005008600,3,2008600
56,36005008700,3,2008700
57,36005008900,3,2008900
58,36005009000,3,2009000
59,36005009200,3,2009200
60,36005009300,1,2009300
61,36005009600,0,2009600
62,36005009800,3,2009800
63,36005011000,0,2011000
64,36005011502,3,2011502
65,36005011700,0,2011700
66,36005011800,3,2011800
67,36005011900,1,2011900
68,36005012101,3,2012101
69,36005012102,0,2012102
70,36005012300,3,2012300
71,36005012500,3,2012500
72,36005012701,0,2012701
73,36005012901,3,2012901
74,36005013000,0,2013000
75,36005013100,1,2013100
76,36005013200,3,2013200
77,36005013300,1,2013300
78,36005013500,3,2013500
79,36005013800,3,2013800
80,36005014100,3,2014100
81,36005014300,0,2014300
82,36005014400,3,2014400
83,36005014500,1,2014500
84,36005014701,1,2014701
85,36005014702,3,2014702
86,36005014900,3,2014900
87,36005015100,3,2015100
88,36005015200,0,2015200
89,36005015300,3,2015300
90,36005015500,0,2015500
91,36005015700,0,2015700
92,36005015800,0,2015800
93,36005015900,0,2015900
94,36005016000,3,2016000
95,36005016100,3,2016100
96,36005016200,0,2016200
97,36005016300,0,2016300
98,36005016400,0,2016400
99,36005016500,0,2016500
100,36005016600,0,2016600
101,36005016700,0,2016700
102,36005016900,0,2016900
103,36005017100,0,2017100
104,36005017300,3,2017300
105,36005017500,1,2017500
106,36005017701,3,2017701
107,36005017702,3,2017702
108,36005017901,3,2017901
109,36005017902,3,2017902
110,36005018101,3,2018101
111,36005018102,3,2018102
112,36005018301,3,2018301
113,36005018302,3,2018302
114,36005018400,1,2018400
115,36005018500,1,2018500
116,36005018900,1,2018900
117,36005019300,3,2019300
118,36005019400,0,2019400
119,36005019500,1,2019500
120,36005019700,1,2019700
121,36005019900,1,2019900
122,36005020000,3,2020000
123,36005020100,3,2020100
124,36005020200,0,2020200
125,36005020400,0,2020400
126,36005020501,1,2020501
127,36005020502,0,2020502
128,36005020601,0,2020601
129,36005020900,1,2020900
130,36005021001,1,2021001
131,36005021002,1,2021002
132,36005021100,3,2021100
133,36005021200,1,2021200
134,36005021301,0,2021301
135,36005021302,3,2021302
136,36005021501,3,2021501
137,36005021502,3,2021502
138,36005021601,3,2021601
139,36005021602,1,2021602
140,36005021700,3,2021700
141,36005021800,1,2021800
142,36005021900,0,2021900
143,36005022000,0,2022000
144,36005022101,3,2022101
145,36005022102,3,2022102
146,36005022200,3,2022200
147,36005022300,3,2022300
148,36005022401,0,2022401
149,36005022403,0,2022403
150,36005022404,3,2022404
