zip,sic,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,year
10001,----,6999,4092,1245,776,551,185,102,21,20,7,1994
10002,----,1784,1253,247,142,103,25,11,1,2,0,1994
10003,----,3256,1958,530,340,256,88,62,11,4,7,1994
10004,----,1115,519,184,140,137,62,49,13,7,4,1994
10005,----,1076,498,167,145,128,64,40,17,10,7,1994
10006,----,1061,493,183,150,130,53,32,10,9,1,1994
10007,----,1307,784,231,121,98,32,21,16,1,3,1994
10009,----,634,434,91,57,34,11,5,1,1,0,1994
10010,----,3019,1721,534,347,257,81,53,12,5,9,1994
10011,----,3301,2006,492,378,260,88,48,19,5,5,1994
10012,----,2385,1478,439,260,145,46,13,2,1,1,1994
10013,----,5318,3234,837,547,483,162,40,9,4,2,1994
10014,----,1733,1066,265,179,135,39,29,13,3,4,1994
10016,----,5718,3327,999,637,465,158,91,23,12,6,1994
10017,----,5684,2926,970,729,587,217,167,53,24,11,1994
10018,----,6059,3050,1160,889,647,196,92,13,8,4,1994
10019,----,4750,2647,789,503,403,179,144,49,23,13,1994
10020,----,651,298,110,78,78,32,25,17,8,5,1994
10021,----,5092,3181,922,544,295,77,47,11,8,7,1994
10022,----,6433,3453,1100,816,616,243,136,38,18,13,1994
10023,----,2021,1309,288,202,126,43,31,16,2,4,1994
10024,----,1696,1140,276,145,87,32,11,2,3,0,1994
10025,----,1566,1074,254,133,75,15,9,2,2,2,1994
10026,----,134,101,17,10,3,3,0,0,0,0,1994
10027,----,683,412,100,78,59,15,12,2,3,2,1994
10028,----,1772,1118,301,225,92,27,7,1,0,1,1994
10029,----,637,408,100,66,38,13,3,3,2,4,1994
10030,----,151,105,18,18,8,2,0,0,0,0,1994
10031,----,412,309,52,23,17,4,6,0,1,0,1994
10032,----,573,427,74,37,26,5,1,0,2,1,1994
10033,----,773,601,102,37,23,4,5,0,0,1,1994
10034,----,457,373,42,18,13,5,3,1,2,0,1994
10035,----,348,197,70,44,24,5,3,2,0,3,1994
10036,----,5877,3520,981,624,394,170,126,32,18,12,1994
10037,----,145,70,34,24,9,5,0,1,1,1,1994
10038,----,2037,1058,394,252,181,71,48,19,10,4,1994
10039,----,78,44,12,8,12,2,0,0,0,0,1994
10040,----,411,347,34,16,6,4,2,0,2,0,1994
10044,----,67,45,10,2,5,3,0,0,0,2,1994
10048,----,964,373,227,176,118,29,23,9,5,4,1994
10103,----,113,47,29,14,9,6,4,2,2,0,1994
10107,----,236,173,28,18,9,3,3,2,0,0,1994
10111,----,158,85,26,23,14,4,6,0,0,0,1994
10115,----,57,21,12,10,5,2,4,2,1,0,1994
10119,----,207,105,35,25,23,6,8,2,2,1,1994
10122,----,330,246,51,22,7,2,2,0,0,0,1994
10123,----,241,172,41,17,7,4,0,0,0,0,1994
10128,----,1435,982,225,124,66,15,19,3,0,1,1994
10129,----,2,1,0,0,0,1,0,0,0,0,1994
10153,----,124,58,22,17,13,6,4,2,1,1,1994
10162,----,17,13,2,0,0,2,0,0,0,0,1994
10177,----,49,23,4,5,5,5,6,1,0,0,1994
10280,----,109,67,13,15,14,0,0,0,0,0,1994
10281,----,608,220,150,111,80,33,9,3,1,1,1994
10282,----,1,0,0,0,1,0,0,0,0,0,1994
10301,----,552,343,94,59,28,20,6,2,0,0,1994
10302,----,364,218,58,48,23,6,9,2,0,0,1994
10303,----,295,161,56,26,34,12,5,1,0,0,1994
10304,----,472,295,87,44,27,6,8,3,1,1,1994
10305,----,597,388,83,63,39,15,5,2,0,2,1994
10306,----,847,567,146,62,52,7,10,0,2,1,1994
10307,----,175,121,33,13,4,2,1,1,0,0,1994
10308,----,316,232,46,24,13,1,0,0,0,0,1994
10309,----,366,242,65,32,18,6,1,1,0,1,1994
10310,----,487,322,81,48,24,5,4,2,0,1,1994
10312,----,738,534,120,52,20,8,4,0,0,0,1994
10314,----,1431,899,242,161,83,23,17,4,2,0,1994
10451,----,693,405,100,66,76,24,9,9,3,1,1994
10452,----,438,342,41,24,18,5,6,1,1,0,1994
10453,----,441,320,62,22,25,4,7,1,0,0,1994
10454,----,452,237,77,39,65,23,11,0,0,0,1994
10455,----,456,291,69,50,28,11,4,3,0,0,1994
10456,----,355,229,60,28,26,7,2,1,1,1,1994
10457,----,559,384,67,53,40,7,3,1,2,2,1994
10458,----,934,652,125,75,55,13,5,5,2,2,1994
10459,----,408,278,55,33,23,13,6,0,0,0,1994
10460,----,349,243,37,25,30,6,6,1,0,1,1994
10461,----,1135,745,198,90,63,18,11,4,4,2,1994
10462,----,889,564,160,89,50,10,8,5,1,2,1994
10463,----,955,686,133,81,33,9,9,4,0,0,1994
10464,----,146,86,28,24,3,4,1,0,0,0,1994
10465,----,423,286,61,37,25,11,1,1,0,1,1994
10466,----,528,362,64,52,34,10,4,0,1,1,1994
10467,----,938,701,108,64,38,12,11,0,2,2,1994
10468,----,664,508,63,36,42,5,3,5,0,2,1994
10469,----,547,346,99,50,31,11,8,1,1,0,1994
10470,----,279,209,28,20,14,5,3,0,0,0,1994
10471,----,420,308,46,26,21,9,5,2,2,1,1994
10472,----,406,297,52,24,25,3,4,0,0,1,1994
10473,----,269,178,28,33,11,7,6,5,1,0,1994
10474,----,542,209,117,78,93,31,11,2,1,0,1994
10475,----,271,155,52,28,23,5,5,1,1,1,1994
11001,----,669,452,89,81,32,10,5,0,0,0,1994
11004,----,194,135,27,18,11,2,0,0,0,1,1994
11005,----,39,28,4,5,1,0,1,0,0,0,1994
11040,----,1422,829,268,155,104,35,21,4,3,3,1994
11096,----,81,65,12,2,0,2,0,0,0,0,1994
11101,----,2414,1081,448,359,301,130,71,16,5,3,1994
11102,----,497,356,66,38,27,4,3,1,2,0,1994
11103,----,877,623,136,68,41,6,2,0,0,1,1994
11104,----,438,325,56,32,18,5,1,0,0,1,1994
11105,----,702,504,95,50,28,11,9,4,0,1,1994
11106,----,801,499,119,84,61,30,8,0,0,0,1994
11201,----,2047,1217,327,212,168,57,39,13,7,7,1994
11203,----,660,454,83,55,41,15,7,0,1,4,1994
11204,----,1287,1014,136,72,41,14,8,1,1,0,1994
