zip,sic,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,----,7075,4139,1253,817,510,205,102,24,14,11
10001,07--,8,7,0,1,0,0,0,0,0,0
10001,0750,3,2,0,1,0,0,0,0,0,0
10001,0780,5,5,0,0,0,0,0,0,0,0
10001,10--,1,1,0,0,0,0,0,0,0,0
10001,1010,1,1,0,0,0,0,0,0,0,0
10001,15--,197,88,40,39,17,8,3,1,1,0
10001,1500,9,6,3,0,0,0,0,0,0,0
10001,1510,51,24,9,9,6,3,0,0,0,0
10001,1530,3,0,1,2,0,0,0,0,0,0
10001,1610,2,0,1,1,0,0,0,0,0,0
10001,1620,4,1,1,0,1,0,1,0,0,0
10001,1700,2,1,0,1,0,0,0,0,0,0
10001,1710,30,12,10,5,2,0,1,0,0,0
10001,1720,7,3,2,1,1,0,0,0,0,0
10001,1730,38,14,5,11,5,1,0,1,1,0
10001,1741,3,1,1,1,0,0,0,0,0,0
10001,1742,9,4,1,2,1,1,0,0,0,0
10001,1743,3,1,1,0,0,1,0,0,0,0
10001,1751,16,11,2,2,0,1,0,0,0,0
10001,1752,4,4,0,0,0,0,0,0,0,0
10001,1760,1,0,0,1,0,0,0,0,0,0
10001,1791,1,0,0,1,0,0,0,0,0,0
10001,1794,2,1,0,0,0,1,0,0,0,0
10001,1795,2,1,1,0,0,0,0,0,0,0
10001,1796,4,0,1,1,1,0,1,0,0,0
10001,1799,6,4,1,1,0,0,0,0,0,0
10001,20--,863,392,174,136,104,37,14,4,2,0
10001,2051,2,1,1,0,0,0,0,0,0,0
10001,2053,1,0,0,0,0,1,0,0,0,0
10001,2082,1,1,0,0,0,0,0,0,0,0
10001,2100,1,0,0,0,1,0,0,0,0,0
10001,2120,1,1,0,0,0,0,0,0,0,0
10001,2200,7,5,1,1,0,0,0,0,0,0
10001,2210,1,0,1,0,0,0,0,0,0,0
10001,2220,3,0,1,1,1,0,0,0,0,0
10001,2240,1,0,1,0,0,0,0,0,0,0
10001,2252,2,2,0,0,0,0,0,0,0,0
10001,2253,2,0,1,0,1,0,0,0,0,0
10001,2254,1,0,1,0,0,0,0,0,0,0
10001,2257,1,0,0,1,0,0,0,0,0,0
10001,2258,1,0,0,0,0,0,1,0,0,0
10001,2262,1,0,0,1,0,0,0,0,0,0
10001,2269,1,0,1,0,0,0,0,0,0,0
10001,2284,1,1,0,0,0,0,0,0,0,0
10001,2295,3,1,1,0,0,0,0,0,1,0
10001,2300,19,15,2,2,0,0,0,0,0,0
10001,2310,3,0,1,1,0,1,0,0,0,0
10001,2320,1,1,0,0,0,0,0,0,0,0
10001,2321,4,1,2,0,1,0,0,0,0,0
10001,2323,13,4,1,3,3,1,1,0,0,0
10001,2325,3,0,1,1,1,0,0,0,0,0
10001,2329,6,4,1,0,0,0,1,0,0,0
10001,2331,13,4,2,3,3,0,1,0,0,0
10001,2335,64,23,13,14,12,1,1,0,0,0
10001,2337,27,11,6,4,5,1,0,0,0,0
10001,2339,43,21,7,7,6,2,0,0,0,0
10001,2341,5,2,1,2,0,0,0,0,0,0
10001,2350,19,12,4,3,0,0,0,0,0,0
10001,2361,7,2,0,1,0,3,1,0,0,0
10001,2370,87,75,8,3,1,0,0,0,0,0
10001,2384,1,0,0,0,0,0,0,1,0,0
10001,2386,8,6,2,0,0,0,0,0,0,0
10001,2387,8,4,1,1,2,0,0,0,0,0
10001,2389,3,1,0,2,0,0,0,0,0,0
10001,2390,4,2,2,0,0,0,0,0,0,0
10001,2391,3,2,0,0,1,0,0,0,0,0
10001,2392,2,0,0,0,2,0,0,0,0,0
10001,2395,5,3,1,1,0,0,0,0,0,0
10001,2396,17,5,2,5,2,3,0,0,0,0
10001,2397,2,0,2,0,0,0,0,0,0,0
10001,2399,6,1,1,2,2,0,0,0,0,0
10001,2431,1,0,0,1,0,0,0,0,0,0
10001,2449,1,0,1,0,0,0,0,0,0,0
10001,2499,1,1,0,0,0,0,0,0,0,0
10001,2511,5,3,0,2,0,0,0,0,0,0
10001,2512,4,1,2,0,1,0,0,0,0,0
10001,2517,1,1,0,0,0,0,0,0,0,0
10001,2542,2,1,0,1,0,0,0,0,0,0
10001,2591,1,1,0,0,0,0,0,0,0,0
10001,2672,1,0,0,1,0,0,0,0,0,0
10001,2675,4,0,1,0,0,3,0,0,0,0
10001,2678,2,1,1,0,0,0,0,0,0,0
10001,2679,2,1,0,1,0,0,0,0,0,0
10001,2700,8,3,3,0,1,1,0,0,0,0
10001,2710,8,5,1,1,1,0,0,0,0,0
10001,2720,25,8,4,2,6,1,2,1,1,0
10001,2731,9,3,2,1,2,1,0,0,0,0
10001,2740,15,6,2,2,1,2,1,1,0,0
10001,2750,1,0,0,1,0,0,0,0,0,0
10001,2752,90,35,25,15,11,3,1,0,0,0
10001,2754,2,1,0,1,0,0,0,0,0,0
10001,2759,16,8,4,2,1,1,0,0,0,0
10001,2760,1,0,1,0,0,0,0,0,0,0
10001,2780,1,1,0,0,0,0,0,0,0,0
10001,2789,5,1,1,2,1,0,0,0,0,0
10001,2791,14,7,3,3,1,0,0,0,0,0
10001,2796,20,8,3,3,4,1,1,0,0,0
10001,3086,1,0,1,0,0,0,0,0,0,0
10001,3089,2,1,0,0,1,0,0,0,0,0
10001,3100,5,3,0,2,0,0,0,0,0,0
10001,3110,6,2,3,1,0,0,0,0,0,0
10001,3160,4,2,1,0,0,0,1,0,0,0
10001,3170,2,2,0,0,0,0,0,0,0,0
10001,3171,27,12,9,2,2,1,1,0,0,0
10001,3172,2,1,1,0,0,0,0,0,0,0
10001,3190,4,0,1,3,0,0,0,0,0,0
10001,3230,3,3,0,0,0,0,0,0,0,0
10001,3269,1,0,1,0,0,0,0,0,0,0
10001,3299,1,0,0,1,0,0,0,0,0,0
10001,3321,1,1,0,0,0,0,0,0,0,0
10001,3340,1,0,0,1,0,0,0,0,0,0
10001,3356,1,0,1,0,0,0,0,0,0,0
10001,3369,1,0,0,0,0,1,0,0,0,0
10001,3423,2,1,0,0,1,0,0,0,0,0
