zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,------,7317,4236,1273,870,572,183,118,37,16,12
10001,11----,1,0,0,0,0,1,0,0,0,0
10001,115210,1,0,0,0,0,1,0,0,0,0
10001,21----,2,2,0,0,0,0,0,0,0,0
10001,211111,1,1,0,0,0,0,0,0,0,0
10001,212210,1,1,0,0,0,0,0,0,0,0
10001,23----,213,80,42,43,29,12,4,2,0,1
10001,233110,1,1,0,0,0,0,0,0,0,0
10001,233210,25,12,4,4,5,0,0,0,0,0
10001,233220,9,5,0,2,2,0,0,0,0,0
10001,233310,3,2,0,1,0,0,0,0,0,0
10001,233320,38,13,8,6,6,4,1,0,0,0
10001,234110,1,1,0,0,0,0,0,0,0,0
10001,234910,3,2,1,0,0,0,0,0,0,0
10001,234990,4,2,1,0,0,0,0,1,0,0
10001,235110,27,7,10,8,2,0,0,0,0,0
10001,235210,8,5,0,0,2,1,0,0,0,0
10001,235310,40,6,11,13,5,4,0,0,0,1
10001,235410,1,0,0,1,0,0,0,0,0,0
10001,235420,7,1,1,0,2,1,1,1,0,0
10001,235430,4,1,1,1,0,1,0,0,0,0
10001,235510,22,10,3,4,3,1,1,0,0,0
10001,235520,2,2,0,0,0,0,0,0,0,0
10001,235610,2,2,0,0,0,0,0,0,0,0
10001,235910,1,1,0,0,0,0,0,0,0,0
10001,235920,2,0,1,0,1,0,0,0,0,0
10001,235930,3,2,1,0,0,0,0,0,0,0
10001,235940,2,1,0,0,1,0,0,0,0,0
10001,235950,3,0,0,2,0,0,1,0,0,0
10001,235990,5,4,0,1,0,0,0,0,0,0
10001,31----,638,305,124,111,73,17,6,2,0,0
10001,311811,5,4,0,1,0,0,0,0,0,0
10001,311812,3,2,0,1,0,0,0,0,0,0
10001,313111,1,1,0,0,0,0,0,0,0,0
10001,313210,3,0,1,1,1,0,0,0,0,0
10001,313222,1,1,0,0,0,0,0,0,0,0
10001,313241,1,0,0,1,0,0,0,0,0,0
10001,313249,1,0,0,0,0,0,1,0,0,0
10001,313311,22,9,6,3,4,0,0,0,0,0
10001,313312,3,1,0,2,0,0,0,0,0,0
10001,313320,1,1,0,0,0,0,0,0,0,0
10001,314121,6,4,1,0,1,0,0,0,0,0
10001,314129,1,0,0,1,0,0,0,0,0,0
10001,314911,1,1,0,0,0,0,0,0,0,0
10001,314912,1,1,0,0,0,0,0,0,0,0
10001,314999,7,1,2,3,1,0,0,0,0,0
10001,315191,4,0,1,2,1,0,0,0,0,0
10001,315192,1,1,0,0,0,0,0,0,0,0
10001,315211,8,1,2,2,3,0,0,0,0,0
10001,315212,62,26,15,13,5,2,1,0,0,0
10001,315222,3,1,1,1,0,0,0,0,0,0
10001,315223,2,0,1,1,0,0,0,0,0,0
10001,315224,2,0,0,1,1,0,0,0,0,0
10001,315228,3,1,1,0,0,1,0,0,0,0
10001,315231,4,3,0,0,1,0,0,0,0,0
10001,315232,5,3,1,1,0,0,0,0,0,0
10001,315233,14,5,3,1,4,0,1,0,0,0
10001,315234,4,0,1,1,2,0,0,0,0,0
10001,315239,21,8,6,5,2,0,0,0,0,0
10001,315292,64,52,6,5,1,0,0,0,0,0
10001,315299,1,0,0,0,1,0,0,0,0,0
10001,315991,19,7,4,5,2,1,0,0,0,0
10001,315993,9,4,1,3,0,0,1,0,0,0
10001,315999,18,7,6,3,2,0,0,0,0,0
10001,316110,12,7,3,2,0,0,0,0,0,0
10001,316213,1,0,0,1,0,0,0,0,0,0
10001,316219,1,1,0,0,0,0,0,0,0,0
10001,316991,4,2,0,1,1,0,0,0,0,0
10001,316992,12,8,1,1,1,0,0,1,0,0
10001,316993,4,2,2,0,0,0,0,0,0,0
10001,316999,5,3,0,2,0,0,0,0,0,0
10001,321911,1,0,0,1,0,0,0,0,0,0
10001,321920,2,2,0,0,0,0,0,0,0,0
10001,322222,2,0,0,2,0,0,0,0,0,0
10001,322231,3,0,2,0,1,0,0,0,0,0
10001,323110,69,28,18,12,6,3,1,1,0,0
10001,323112,2,0,1,0,1,0,0,0,0,0
10001,323113,14,11,1,0,2,0,0,0,0,0
10001,323114,10,7,2,0,1,0,0,0,0,0
10001,323115,1,0,0,0,1,0,0,0,0,0
10001,323117,2,2,0,0,0,0,0,0,0,0
10001,323118,1,0,0,0,1,0,0,0,0,0
10001,323119,11,6,2,3,0,0,0,0,0,0
10001,323121,8,2,2,2,2,0,0,0,0,0
10001,323122,23,9,5,2,4,3,0,0,0,0
10001,325620,1,1,0,0,0,0,0,0,0,0
10001,326140,2,1,1,0,0,0,0,0,0,0
10001,327112,2,1,1,0,0,0,0,0,0,0
10001,327215,2,2,0,0,0,0,0,0,0,0
10001,327999,1,0,0,1,0,0,0,0,0,0
10001,331419,1,0,0,1,0,0,0,0,0,0
10001,331491,1,1,0,0,0,0,0,0,0,0
10001,331528,1,0,0,0,0,1,0,0,0,0
10001,332116,1,1,0,0,0,0,0,0,0,0
10001,332212,2,1,0,0,1,0,0,0,0,0
10001,332312,1,0,1,0,0,0,0,0,0,0
10001,332439,1,0,0,0,1,0,0,0,0,0
10001,332618,1,1,0,0,0,0,0,0,0,0
10001,332710,3,1,0,0,2,0,0,0,0,0
10001,332812,1,0,1,0,0,0,0,0,0,0
10001,332813,3,1,0,2,0,0,0,0,0,0
10001,333292,1,1,0,0,0,0,0,0,0,0
10001,333298,2,1,1,0,0,0,0,0,0,0
10001,333514,3,2,0,0,1,0,0,0,0,0
10001,333515,1,1,0,0,0,0,0,0,0,0
10001,334111,1,1,0,0,0,0,0,0,0,0
