zip,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12
10001,71,318,322,324,355,367,340,330,347,348
10002,51,51,56,52,48,53,49,50,58,56
10003,189,184,178,199,194,195,202,187,199,214
10004,99,110,113,120,117,123,109,112,114,116
10005,129,135,132,126,137,130,114,116,120,123
10006,54,50,51,55,57,65,59,60,55,65
10007,52,51,44,52,54,55,62,56,58,66
10009,16,14,15,14,15,13,12,13,11,10
10010,179,151,170,174,164,172,172,176,178,193
10011,152,141,154,182,195,198,194,193,204,195
10012,106,111,119,126,118,116,102,104,121,127
10013,153,185,163,156,167,174,174,175,170,180
10014,95,94,93,105,120,121,113,115,111,145
10016,324,318,327,327,316,326,296,290,290,309
10017,384,382,396,397,397,399,378,361,346,347
10018,287,288,296,315,349,364,310,310,339,371
10019,376,380,376,379,398,417,376,371,362,371
10020,74,84,76,72,73,71,74,78,77,75
10021,147,148,153,149,116,120,106,101,103,90
10022,398,412,416,443,437,455,425,408,398,403
10023,94,90,93,98,106,116,106,95,100,95
10024,61,61,63,59,53,52,50,61,53,53
10025,37,35,41,45,41,49,49,57,51,48
10026,4,5,6,7,7,8,8,8,9,6
10027,43,42,42,45,47,50,43,48,45,44
10028,54,51,49,47,48,58,46,43,46,46
10029,32,30,36,30,34,35,33,29,30,33
10030,5,6,7,8,8,9,8,8,10,10
10031,7,8,7,5,6,6,6,7,8,11
10032,17,16,17,15,15,18,16,17,16,12
10033,14,11,13,18,15,16,15,17,17,18
10034,9,9,6,11,8,10,8,10,6,5
10035,15,20,23,26,26,32,35,36,37,38
10036,364,368,369,355,364,384,376,354,390,395
10037,5,5,3,4,4,7,3,3,4,4
10038,111,107,100,110,98,97,85,92,87,95
10039,4,4,4,7,6,6,6,5,4,5
10040,7,6,7,5,7,5,4,5,6,7
10044,5,3,3,5,3,4,3,3,3,5
10069,0,0,0,0,0,0,0,0,1,0
10103,24,16,16,15,16,15,10,9,8,10
10110,8,7,10,10,7,9,7,8,6,6
10111,9,8,9,8,7,9,9,9,9,7
10112,9,11,12,13,12,12,14,13,12,12
10115,9,7,7,7,5,8,8,8,8,9
10119,29,29,30,28,27,31,23,23,28,28
10128,39,37,40,41,34,45,41,39,38,38
10152,2,2,3,3,3,5,4,8,3,5
