OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
1,11360,-0.382330236000000,-0.394750371000000,-0.403738987000000,-0.453217316000000,-0.430086157000000,-0.449648835000000,-0.469381395000000,-0.428202725000000,-0.444070573000000,-0.434098468000000,0.098713633271122,0.000393387285851,0,1
2,10009,-0.305570371000000,-0.336185808000000,-0.317045718000000,-0.339607218000000,-0.319044765000000,-0.355510849000000,-0.368022726000000,-0.353611652000000,-0.385671486000000,-0.405746412000000,0.052315989484037,0.000170273884226,0,1
3,10162,-0.535849966000000,-0.526520636000000,-0.504881134000000,-0.524223628000000,-0.513367201000000,-0.516890254000000,-0.527300634000000,-0.532630228000000,-0.531669204000000,-0.533330665000000,0.008956998717849,0.000003222074555,0,1
4,11422,-0.351626290000000,-0.380109230000000,-0.389290109000000,-0.382211005000000,-0.388445635000000,-0.422752268000000,-0.440421775000000,-0.413284511000000,-0.429470801000000,-0.448274496000000,0.162934011696676,0.000559066066309,0,1
5,10177,-0.459090101000000,-0.467956074000000,-0.447085621000000,-0.439016054000000,-0.416205983000000,-0.409303984000000,-0.411462156000000,-0.502793798000000,-0.473270117000000,-0.476626552000000,0.002750989173354,0.000000288902492,0,1
6,10466,-0.259514453000000,-0.336185808000000,-0.288147962000000,-0.282802170000000,-0.360685287000000,-0.382407417000000,-0.396982346000000,-0.353611652000000,-0.327272398000000,-0.249810103000000,0.123069695864478,0.000554638083758,0,1
7,11106,-0.152050642000000,-0.189774402000000,-0.244801328000000,-0.268600907000000,-0.152482677000000,-0.153786594000000,-0.194265008000000,-0.174593076000000,-0.166674908000000,-0.193105990000000,0.069944542403470,0.000237466597522,0,1
8,10453,-0.443738128000000,-0.424032652000000,-0.432636743000000,-0.424814792000000,-0.388445635000000,-0.422752268000000,-0.425941966000000,-0.398366296000000,-0.400271258000000,-0.391570384000000,0.073280191271487,0.000252400694476,0,1
9,11366,-0.443738128000000,-0.467956074000000,-0.475983378000000,-0.453217316000000,-0.457846505000000,-0.449648835000000,-0.425941966000000,-0.458039154000000,-0.458670345000000,-0.476626552000000,0.137447867447827,0.000304363272589,0,1
10,11228,-0.459090101000000,-0.409391511000000,-0.389290109000000,-0.424814792000000,-0.430086157000000,-0.409303984000000,-0.440421775000000,-0.428202725000000,-0.458670345000000,-0.419922440000000,0.105676824824470,0.000402525874078,0,1
