zip,small_03,small_04,small_05,small_06,small_07,small_08,small_09,small_10,small_11,small_12
10001,6708,6982,6917,7018,7121,7028,6899,6838,6806,6807
10002,2348,2497,2622,2630,2632,2634,2721,2818,2851,2896
10003,3490,3568,3660,3682,3822,3839,3863,3896,3927,3969
10004,1120,1143,1113,1157,1217,1219,1240,1258,1262,1289
10005,1042,1068,1058,1105,1111,1135,1137,1122,1154,1124
10006,794,804,806,808,796,773,757,773,767,773
10007,1539,1573,1255,1227,1218,1241,1199,1258,1290,1315
10009,935,966,1012,999,1009,1051,1035,1074,1113,1162
10010,2837,2869,2857,2841,2751,2793,2738,2780,2815,2844
10011,3532,3558,3598,3608,3592,3659,3599,3631,3637,3612
10012,2706,2767,2836,2840,2787,2793,2758,2805,2805,2813
10013,4698,5640,4755,4815,4835,4893,4827,4895,5024,5163
10014,2185,2134,2162,2182,2122,2133,2135,2131,2168,2340
10016,5650,5717,5752,5727,5582,5540,5464,5445,5446,5583
10017,4785,4917,4866,4934,4760,4771,4698,4685,4618,4595
10018,5923,5965,5995,5996,6268,6128,6092,6052,6054,6252
10019,4461,4595,4579,4685,4535,4507,4448,4401,4391,4370
10020,643,679,647,659,602,600,634,617,628,638
10021,5347,5448,5486,5350,4181,4025,3892,3753,3494,3157
10022,6097,6160,6170,6280,6265,6219,6119,6113,6052,5941
10023,2138,2177,2172,2132,2106,2107,2095,2119,2141,2160
10024,1933,1957,1939,1941,1933,1911,1919,1945,1902,1906
10025,1849,1853,1858,1907,1897,1880,1942,1980,1982,1997
10026,254,267,287,286,323,338,356,388,412,449
10027,786,800,828,821,853,866,889,897,912,913
10028,1906,1940,1966,1950,1952,1923,1911,1909,1907,1856
10029,739,761,769,783,810,854,869,981,972,996
10030,208,212,219,223,212,212,223,229,242,259
10031,562,585,600,622,609,632,655,660,661,675
10032,693,697,698,699,690,669,708,720,745,788
10033,918,939,925,925,950,928,947,982,984,993
10034,535,532,529,533,529,535,552,565,581,593
10035,455,453,461,463,480,490,494,527,562,572
10036,5829,5787,5826,5831,5715,5626,5542,5535,5570,5636
10037,160,157,153,162,176,178,191,201,208,203
10038,2067,2005,1964,1957,1853,1860,1952,1876,1875,1810
10039,127,136,140,146,149,150,155,178,185,190
10040,509,529,526,506,519,503,508,514,531,558
10044,54,58,63,65,76,82,90,89,101,94
10069,37,33,43,49,56,67,73,82,83,89
10103,95,115,96,86,84,92,89,87,75,74
10110,181,190,186,184,169,165,161,164,152,142
10111,169,173,169,165,154,153,159,154,151,144
10112,96,91,97,104,115,111,111,107,107,94
10115,51,49,50,48,60,60,57,54,56,58
10119,224,234,238,262,269,269,282,285,269,260
10128,1626,1673,1676,1636,1685,1647,1640,1661,1653,1616
10152,112,109,102,112,85,73,70,72,72,59
10153,83,90,85,86,86,73,76,101,103,100
10154,38,33,42,44,40,36,42,38,46,69
10162,27,21,21,16,16,17,18,20,14,20
10165,482,472,470,467,447,426,417,386,377,363
10167,77,87,83,92,102,119,109,112,116,109
10168,148,154,149,149,168,175,186,185,166,184
10169,245,246,242,242,214,202,197,195,174,158
10170,291,296,281,286,293,286,292,297,290,276
10171,32,31,34,35,44,40,46,45,46,44
10172,35,36,34,44,44,42,44,50,47,56
10173,68,64,62,53,29,31,47,45,50,54
10174,113,109,109,111,109,115,112,106,114,116
10177,17,21,21,21,24,23,27,32,44,52
10199,4,5,4,4,4,4,4,5,13,12
10271,81,85,86,86,77,70,67,67,67,74
10278,7,8,7,6,7,7,10,11,10,10
10279,96,110,116,115,112,100,98,103,113,130
